id,x1,x2,x3,d
1,7.86798,4.09201,6.6676,1
2,7.55795,3.99668,6.51839,1
3,7.227,3.94558,7.31519,1
4,7.53781,4.07419,7.49146,1
5,7.54723,3.8464,7.30433,1
6,7.70447,3.8956,7.29495,1
7,7.07313,4.23088,6.90736,1
8,6.59598,4.4367,6.68681,0
9,6.76424,4.07009,6.98339,1
10,6.73602,4.15597,6.29295,1
11,6.11861,4.08236,5.5411,1
12,6.36944,4.16707,5.93049,1
13,6.7649,3.93348,5.46899,1
14,6.99409,4.04402,6.44655,0
15,7.2192,4.07514,6.75208,1
16,7.69717,4.0652,6.83329,1
17,7.03843,3.8943,6.0015,1
18,7.21927,3.74545,5.41651,1
19,7.07732,3.86354,6.66476,0
20,6.82149,3.50174,5.78118,1
21,5.8729,3.89549,5.28529,1
22,6.67951,3.79146,6.26,0
23,6.91703,3.88091,6.22971,1
24,6.91247,4.00469,5.58913,1
25,7.63818,3.97182,6.66461,0
26,7.24336,4.46864,6.70264,1
27,7.19224,4.5292,6.49499,1
28,7.17509,4.34819,5.68666,0
29,6.92823,4.61152,7.09389,1
30,7.14563,4.23478,7.00572,1
31,7.56059,3.86913,6.89302,1
32,7.02677,3.88149,7.21301,1
33,6.53689,4.16976,6.76015,1
34,6.87042,4.13292,6.36187,1
35,6.92841,3.94205,6.69737,0
36,6.79902,4.13382,6.23475,1
37,6.39209,3.87915,5.38407,1
38,6.65866,3.93891,6.16033,0
39,6.90533,3.85273,6.01003,1
40,6.16132,4.09977,6.96956,1
41,7.37652,3.98892,7.47973,1
42,7.2998,3.9065,7.36326,1
43,7.00374,4.09604,6.66562,1
44,6.50229,4.0271,5.1717,1
45,6.52777,3.89352,6.19728,0
46,6.74074,4.1981,6.47479,1
47,6.67962,4.2411,6.34735,1
48,6.65185,4.1002,5.89974,0
49,7.16988,4.14967,6.87513,1
50,6.51957,4.0156,6.44261,1
51,6.77082,3.99537,5.74271,0
52,6.60915,3.99501,6.44478,1
53,7.33409,4.17198,6.74817,1
54,7.08983,4.27113,6.55424,1
55,6.92121,4.48367,6.35745,1
56,6.85692,4.2416,5.84842,0
57,6.7309,3.80362,5.91969,1
58,6.50558,4.24203,6.60405,1
59,6.80526,3.90819,6.47139,0
60,7.0863,4.11178,7.06013,1
61,6.82949,4.05132,6.64112,1
62,6.55178,3.87958,6.29616,0
63,6.90756,3.91422,6.67984,1
64,6.56178,3.73352,5.92353,1
65,7.08028,3.99616,6.44461,0
66,7.4907,4.05466,7.5736,1
67,7.35784,4.24496,7.32779,1
68,7.42007,3.9272,7.06694,0
69,8.00887,3.93133,7.44593,1
70,7.70964,3.90532,7.31779,1
71,6.94962,3.82851,6.06873,0
72,7.347,3.85548,7.3057,1
73,7.52365,3.9154,7.24996,1
74,7.45389,4.19593,6.93573,0
